source,trial_index,k_brake,direction,valid,reject_reason,start_t_s,peak_t_s,stop_t_s,peak_speed_mps,stop_time_s,stop_distance_m,max_reverse_speed_mps,max_current_est,oscillation_count,flag_bad_fraction,yaw_equiv_ratio,score
data/brake/brake_k600_forward_20260423_231214.csv,0,600.0,forward,True,,4.045541,4.975591,5.495563,0.997056,0.5199720000000001,0.1953443804100004,0.0,4000.0,0,0.0,0.05891243821811412,1.510660760820001
data/brake/brake_k600_forward_20260423_231214.csv,1,600.0,forward,True,,6.345653,7.520594,8.105689,1.172996,0.5850949999999999,0.24632529595000008,0.0,4000.0,0,0.0,0.04246135536694072,1.6777455919
data/brake/brake_k600_forward_20260423_231214.csv,2,600.0,forward,True,,8.850574,10.15564,10.845605,1.215438,0.6899650000000008,0.3255066454875001,0.0,4000.0,0,0.0,0.027727452984027158,1.9409782909750009
data/brake/brake_k600_forward_20260423_231214.csv,3,600.0,forward,True,,11.445637,12.780741,13.410753,1.230015,0.6300119999999989,0.25298045037699884,0.0,4000.0,0,0.0,0.03939220253411544,1.7359729007539966
data/brake/brake_k600_forward_20260423_231214.csv,4,600.0,forward,True,,14.125665,15.650659,16.32078,1.317066,0.670121,0.32200449283300103,0.0,4000.0,0,0.0,0.030315109493373904,1.9141299856660021
data/brake/brake_k800_forward_20260423_231403.csv,0,800.0,forward,True,,3.228269,4.323356,4.778385,1.10041,0.4550289999999997,0.1470935060444996,0.0,4000.0,0,0.0,0.034069119691751255,1.3492160120889989
data/brake/brake_k800_forward_20260423_231403.csv,1,800.0,forward,True,,5.583365,6.948369,7.398322,1.172734,0.4499530000000007,0.1195995855745005,0.0,4000.0,0,0.0,0.0406238754909468,1.2891521711490017
data/brake/brake_k800_forward_20260423_231403.csv,2,800.0,forward,True,,8.248349,9.453413,10.068291,1.233414,0.6148780000000009,0.3256253248690009,0.0,4000.0,0,0.0,0.02699418038063456,1.8661286497380027
data/brake/brake_k800_forward_20260423_231403.csv,3,800.0,forward,True,,10.923325,12.283646,12.808403,1.246953,0.524757000000001,0.2112759516920011,0.0,4000.0,0,0.0,0.047648949078273196,1.5473089033840033
data/brake/brake_k800_forward_20260423_231403.csv,4,800.0,forward,True,,14.948451,16.333476,16.973485,1.249331,0.6400089999999992,0.3252042292559991,0.0,4000.0,0,0.0,0.03065800816597043,1.8904174585119975
