host_t_s,seq,t_ms,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,gyro_norm,acc_norm,flags,used_for_fit
0.00040814897511154413,29,36579,0.015162481926381588,-0.0049864002503454685,0.016927167773246765,-0.012499839067459106,0.08497603982686996,9.806282043457031,0.023265727034591836,9.806658181518777,449,1
0.005366052966564894,30,36584,-0.006907415110617876,0.01101310271769762,-0.03528378903865814,0.035595208406448364,-0.041118934750556946,9.78297233581543,0.03760248108709694,9.783123504739502,449,1
0.010329204029403627,31,36589,-0.012720027007162571,0.00434733834117651,0.004361686296761036,-0.05555425584316254,0.034748271107673645,9.807918548583984,0.014132329781991415,9.808137436503683,449,1
0.015338288969360292,32,36594,0.006593856029212475,-0.0007888918044045568,0.013771895319223404,0.03434568643569946,0.008075326681137085,9.819700241088867,0.015289420796638632,9.819763625562405,449,1
0.020384342060424387,33,36599,0.002914964687079191,-0.002514241961762309,-0.01917303539812565,-0.005107372999191284,0.04938073456287384,9.821247100830078,0.019555656934682204,9.821372569950094,449,1
0.025409138994291425,34,36604,0.0022393439430743456,0.0012139445170760155,0.007402043789625168,-0.036417797207832336,0.005214378237724304,9.76694393157959,0.007828063288544056,9.767013218395542,449,1
0.030362974968738854,35,36609,0.00029577381792478263,0.004665191285312176,0.020148539915680885,0.021048136055469513,0.021424442529678345,9.769369125366211,0.02068369291528252,9.76941529153243,449,1
0.03532910603098571,36,36614,0.02454650215804577,-0.00846005417406559,0.003006533719599247,-0.01433427631855011,0.0005830079317092896,9.80440902709961,0.026136995424687923,9.804419522952296,449,1
0.04036978096701205,37,36619,0.012674320489168167,-0.011866641230881214,-0.007407291792333126,0.0009940266609191895,0.035349056124687195,9.747843742370605,0.018876534259798957,9.747907886799695,449,1
0.0453793240012601,38,36624,-0.021680055186152458,0.01759742945432663,-0.025608845055103302,-0.03778553009033203,-0.03547459840774536,9.796499252319336,0.03788808864710527,9.796636351019144,449,1
0.050446284003555775,39,36629,0.002116417745128274,-0.011737190186977386,-0.0008616709383204579,0.02360048145055771,0.04937651753425598,9.820826530456543,0.011957563897513497,9.82097901252862,449,1
0.0553856190526858,40,36634,-0.006469525396823883,0.004154565744102001,-0.005316345486789942,0.0074297040700912476,0.024225950241088867,9.819770812988281,0.00934765771287796,9.819803507035372,449,1
0.06037982401903719,41,36639,0.005419818684458733,-0.0030680436175316572,0.006375567521899939,0.018140241503715515,0.040299221873283386,9.815702438354492,0.008912642000988824,9.815801926178203,449,1
0.0653903849888593,42,36644,0.00551263801753521,0.0023851029109209776,0.012658613733947277,0.016667112708091736,0.0012607276439666748,9.838045120239258,0.01401136665259092,9.838059319293805,449,1
0.07035154500044882,43,36649,0.011718682013452053,-0.013847382739186287,0.00010549701983109117,-0.0638551265001297,-0.008058324456214905,9.731712341308594,0.01814080060193354,9.731925169654327,449,1
0.0754103020299226,44,36654,-0.012794592417776585,-0.019190361723303795,-0.0004940667422488332,-0.05898110568523407,0.008053123950958252,9.819273948669434,0.02306980017585904,9.8194543892546,449,1
